涉	しょう,わたる
瑛史	あきひと,えいし
瑛士	あきのり,えいし,ようじ
瑛士朗	えいしろう,えいじろう
瑛信	えいしん,てるのぶ
瑛心	えいし,えいしん
瑛真	えいしん,えいま,てるま,ようま
瑛臣	えいしん,てるおみ
瑛進	あきのぶ,えいしん
瑛仁	あきひと,えいしん
瑛成	えいせい,てるなり
瑛政	えいせい,てるまさ
瑛星	あきとし,えいせい
瑛晴	あきてる,あきはる,えいせい,ようせい
瑛正	えいしょう,えいせい,てるまさ
瑛生	えいしょう,えいせい,ようせい
瑛大	あきひろ,えいた,てるまさ,ようた
瑛馬	えいま,てるま
瑛彦	あきひこ,てるひこ
瑛輔	えいすけ,ようすけ
瑛磨	えいま,てるま
瑛也	あきや,てるなり,てるや,ひでなり
瑛友	あきとも,えいすけ,えいゆう
瑛祐	えいすけ,ようすけ
瑛裕	あきひろ,えいすけ
瑛雄	あきのり,えいゆう
瑛亮	えいすけ,ようすけ
瑛惺	えいしょう,えいせい
英央	ひでお,よしひろ
英雅	ひでなり,ひでまさ
英介	えいすけ,ひですけ
英寛	ひでちか,ひでのり,よしひろ
英紀	ひであき,ひでき,ひでのり,よしひろ
英規	ひでき,ひでのり
英貴	ひでき,ひでたか
英輝	としき,ひであき,ひでき
英吉	えいきち,ひでよし
英慶	はなみち,ひでちか,ひでよし
英敬	ひでたか,ひでのり
英憲	ひであき,ひでのり
英玄	ひでとら,よしひろ
英己	ひでき,ひでみ
英光	えいこう,ひでみつ
英孝	えいこう,ひでたか
英宏	ひでひろ,よしひろ
英弘	えいこう,ひでひろ,よしひろ
英浩	ひではる,よしひろ
英行	えいこう,ひでゆき
英高	えいすけ,ひでたか
英剛	えいご,ひでたけ
英哉	ひでちか,ひでや
英司	えいし,ひでし
英史	えいし,ひでし,ひでふみ
英士	えいし,ひでし
英志	えいし,ひでし
英寿	ひでとし,よしひろ
英秀	ひでよし,よしひで
英俊	えいしゅん,ひでとし
英春	えいしゅん,ひではる
英駿	えいしゅん,ひでとし
英助	えいすけ,ようすけ
英将	えいしょう,えいすけ,ひでゆき
英昌	えいすけ,てるまさ,ひであき,ひでまさ,ひでよし,よしまさ
英昭	えいしょう,ひであき
英祥	ひでなが,よしひろ
英章	ひであき,ひでふみ
英伸	えいしん,ひでのぶ
英信	えいしん,ひであき,ひでのぶ
英真	えいしん,えいま,ひでまさ
英臣	えいしん,てるおみ
英人	ひでと,ひでひと
英水	ひでお,ひでみ
英成	えいせい,ひでなり
英生	えいせい,ひでお,ひでき,ひでなり
英誠	えいせい,ひでまさ
英善	てるよし,ひでたけ
英多郎	ひでたろう,ようたろう
英太	えいた,ようた
英大	えいた,ひでひろ
英知	ひであき,ひでとも
英智	ひでとし,ひでとも,ひでのり
英典	えいすけ,ひですけ,ひでのり,よしひろ
英美	としみつ,ひでみ
英彦	つねひこ,てるひこ,ひでひこ,よしひこ
英明	ひであき,よしひろ
英也	ひでなり,ひでや
英弥	ひでみ,ひでや
英友	ひでと,ひでとも,ようすけ
英祐	えいすけ,よしひろ
英雄	えいゆう,ひでお
英亮	えいすけ,ひであき
英良	ひでなが,ひではる,ひでよし
英礼	ひであき,よしひろ
英朗	ひであき,ひでお
英和	ひであき,ひでかず
英暉	ひであき,ひでき
英翔	えいしょう,ひでと
衛	さとる,まさる,まもる
衛央	もりお,もりひさ
衛史	もりひさ,もりふみ
衛士	えいし,もりと
衛章	えいしょう,もりふみ
衛人	ひろと,もりひと
詠一	よいち,よういち
詠哉	うたや,えいすけ
詠太	えいた,ようた
詠大	えいた,ようだい
詠亮	えいすけ,ようすけ
鋭	さとし,とき
悦司	えつし,えつじ
悦士	えつし,えつじ
悦志	えつし,えつじ
悦之	えつし,よしゆき
悦郎	よしお,よしろう
延	すすむ,ただし
延輝	のぶき,のぶてる
延寿	のぶとし,のぶひさ
延生	のぶお,のぶき
縁広	まさひろ,よりひろ
縁人	まさひと,よりと
縁仁	まさひと,よりと
縁斗	まさと,よりと
央喜	おうき,ひろき
央希	おうき,ひろき
央稀	おうき,ひろき
央紀	おうき,ひさのり,ひろき
央貴	おうき,ひろき,ひろたか
央輝	おうき,ひろき
央久	てるひさ,ひろひさ
央哉	おうすけ,おうや
央樹	おうき,ひろき
央丞	おうすけ,ようすけ
央人	ひさと,ひろと
央典	あきのり,おうすけ,ひさのり
央明	てるあき,ひろあき,ふみあき
央也	おうや,ひろや
央弥	おうや,ひろや
央裕	おうすけ,ようすけ
央侑	おうすけ,ひろゆき
央暉	おうき,ひろき
央翔	ひさと,ひろと
往彦	みちひこ,ゆきひこ
応忠	のぶただ,まさただ
旺大	あきひろ,おうき
旺佑	おうすけ,おおすけ
旺友	あきとも,おうすけ
王輝	おうき,きみてる
黄太郎	きたろう,こたろう
温賀	はるしげ,まさよし
温紀	はるき,みつき
温貴	はるき,よしき
温士	はると,みつと
温人	あつと,あつひと,はると,はるひと,まさと
温仁	あつひと,はると,はるひと
温生	あつお,はるき
温太	はるた,はると
温大	あつひろ,はるた,はると
温斗	あつと,はると,まさと
温登	はると,まさと
温都	あつと,はると,まさと
温彦	あつひこ,はるひこ,よしひこ
温夫	あつお,はるお
温也	あつや,おんや,はるや
温良	あつよし,はるよし
温翔	あつと,はると,まさと
穏弥	しずや,としや
音輝	おとき,とき
音樹	おとき,とき
佳一	かいち,けいいち,よしかず
佳央	よしお,よしひさ
佳貴	よしき,よしたか
佳輝	よしき,よしてる
佳己	けいご,よしき
佳悟	けいご,よしのり
佳史	よしひと,よしふみ
佳志	よしむね,よしゆき
佳将	よしのぶ,よしまさ
佳真	けいしん,けいま,よしまさ
佳人	よしと,よしひと
佳生	よしお,よしき,よしたか
佳宣	よしのぶ,よしのり
佳泰	けいた,よしひろ
佳大	けいた,よしひろ,よしまさ
佳哲	よしあき,よしのり
佳彬	よしあき,よしひで
佳文	かもん,よしふみ,よしゆき
佳也	よしなり,よしや
佳弥	よしひさ,よしや
佳祐	けいすけ,よしひろ
佳亮	けいすけ,よしあき
佳朗	よしあき,よしろう
可一	かいち,よしかず
嘉一	かいち,ひろかず,ひろひと,よしかず
嘉乙	ひろと,よしと
嘉喜	ひろき,よしき
嘉基	ひろき,ひろのり,よしき,よしもと
嘉希	ひろき,よしき
嘉稀	ひろき,よしき
嘉紀	ひろき,ひろのり,よしき,よしのり
嘉記	ひろき,ひろのり,よしき
嘉貴	ひろき,よしたか
嘉輝	ひろき,よしき,よしてる
嘉啓	ひろのり,よしひろ
嘉己	ひろき,よしき
嘉幸	よしき,よしゆき
嘉哉	ひろや,よしなり,よしや
嘉嗣	ひろつぐ,よしつぐ
嘉士	ひろと,よしと
嘉治	よしはる,よしや
嘉樹	ひろき,よしき
嘉将	よしのぶ,よしまさ
嘉尚	よしなお,よしひさ
嘉真	ひろま,よしまさ
嘉人	ひろと,よしと,よしひと,よひと
嘉仁	ひろと,よしと,よしのり,よしひと
嘉政	ひろまさ,よしまさ
