涉	しょう,わたる
進治	しんじ,すばる
進人	しんと,のぶひと
進斗	しんと,のぶと
進徳	みちのり,ゆきのり
進也	しんや,ゆきなり
人喜	とき,ひとき
人生	じんせい,とき,ひとき
仁一	きみかず,とよひと,まさかず,まさかつ,まさひと
仁栄	としひろ,ひろはる
仁音	じおん,じん
仁嘉	としひろ,ひとよし,ひろよし,よしひろ
仁喜	とき,ひとき
仁基	きみのり,ひとき,ひろき,よしき
仁揮	とき,ひろき
仁季	ひとき,ひろき
仁紀	さとき,とき,としひろ,ひとき,まさき,よしのり
仁貴	とき,ひろき,ひろたか,よしき
仁義	きみのり,ひとよし,まさよし
仁久	とよひさ,よしひさ
仁啓	きみのり,としひろ
仁敬	きみたか,としひろ,よしあき
仁孝	きみたか,まさたか,よしたか
仁康	としひろ,としやす,ひろやす
仁哉	きみや,じんや,ひとし,ひろとし,ひろや,まさや
仁史	ひとし,よしふみ
仁士	さとし,ひとし,ひろと
仁志	さとし,じん,ひとし,まさし
仁寿	とよひさ,ひろとし
仁秀	まさひで,よしひで
仁重	とよしげ,もとのぶ
仁春	きみはる,まさはる
仁昭	きみあき,のりあき,よしあき
仁章	まさあき,よしあき
仁心	じん,ひとし,まさきよ
仁人	きみと,じんと,とよひと,ひろと,ひろひと,まさと,よしと,よしひと
仁成	じんせい,まさなり
仁聖	じんせい,まさきよ
仁多	じんた,とよた
仁多郎	じんたろう,とよたろう
仁太	じんた,とよた
仁太朗	じんたろう,とよたろう
仁太郎	じんたろう,とよたろう
仁大	じんた,としひろ,まさひろ,よしはる
仁斗	きみと,じんと,ひろと,まさと
仁杜	じんと,まさと
仁登	きみと,じんと,まさと
仁都	じんと,ひろと,まさと
仁之	ひとし,まさし
仁之助	しんのすけ,じんのすけ
仁博	としひろ,まさひろ
仁飛	じんと,まさと,よしたか
仁彦	きみひこ,としひろ,とよひこ,まさひこ,よしひこ
仁文	ひろふみ,よしふみ
仁茂	とよしげ,まさたか
仁也	きみや,じんや,まさや
仁裕	としひろ,まさひろ
仁雄	ひろたか,まさのり,よしお
仁洋	としひろ,のりひろ,まさひろ
仁陽	ひろはる,まさきよ,まさはる,まさや,よしはる
仁亮	のりあき,ひろあき
仁良	とら,ひとよし
仁朗	じろう,ひとき
仁暉	とき,ひとき,まさき
仁翔	きみと,じんと,ひろと,まさと,よしと
尋音	じおん,ひろと
尋史	ひろし,ひろふみ
尋士	ひろし,ひろと
尋樹	ひろき,みつき
尋人	じんと,ひろと
尋仁	ちかと,ひろと,ひろひと
尋生	ひろお,ひろき,みつき
尋太	じんた,ひろた
尋斗	ちかと,ひろと
尋也	じんや,ひろなり,ひろや
尋陽	ひろあき,ひろはる
尋翔	じんと,ひろと
腎斗	けんと,じんと
迅	じん,とき
迅輝	としき,はやて
迅哉	じんや,ときや
迅樹	じんた,としき
迅晴	じんせい,はやせ
迅生	ときお,としき
迅太	じんた,はやた
迅汰	じんた,はやた
迅泰	じんた,はやた
迅大	じんた,はやと
迅斗	じんと,はやと
迅矢	じんや,ときや
迅翔	しゅんと,じんと,はやと
水音	みずと,みなと
水人	みずと,みなと
水翔	みずと,みなと
翠春	あきはる,すばる
崇	しゅう,たかし
崇一郎	しゅういちろう,そういちろう
崇雅	しゅうが,たかまさ
崇貴	たかき,むねたか
崇高	なりたか,むねたか
崇司	しゅうじ,そうじ,たかし
崇史	たかし,たかふみ
崇嗣	たかし,たかつぐ
崇士	しゅうと,たかし
崇志	たかし,たかゆき
崇慈	しゅうじ,たかしげ
崇次	しゅうじ,たかつぐ
崇樹	しゅうき,たかき
崇助	しゅうすけ,そうすけ
崇真	しゅうま,そうま,たかまさ
崇人	しゅうと,たかと,たかひと
崇仁	たかと,たかひと,たけと
崇成	しゅうせい,たかなり
崇晴	しゅうせい,すばる,たかはる
崇正	たかなお,たかまさ
崇聖	しゅうせい,たかとし,たかまさ
崇誠	たかなり,たかまさ
崇太	しゅうた,そうた,たかひろ
崇太郎	しゅうたろう,そうたろう
崇大	しゅうた,たかひろ,たけはる
崇智	たかとも,たかのり
崇斗	しゅうと,たかと
崇徳	たかのり,たかよし,むねのり
崇之	しゅうじ,たかし,たかゆき
崇耶	しゅうや,たかや
崇弥	しゅうや,たかや
崇矢	しゅうや,たかや
崇陽	しゅうや,たかはる
崇来	たかゆき,たから
崇翔	しゅうと,たけと
嵩	しゅう,たかし
嵩史	たかし,たかふみ,たけし
嵩志	しゅうじ,たかし
嵩真	しゅうま,たかまさ
嵩人	しゅうと,たかと,たかひと
嵩仁	しゅうと,たかのり,たかひと,たけと
嵩大	しゅうた,たかはる,たかひろ,たかまさ,たけひろ
嵩斗	しゅうと,たかと
嵩登	しゅうと,たかと
嵩飛	しゅうと,たかと
嵩也	しゅうや,たかや
嵩弥	しゅうや,たかみ,たかや
嵩陽	しゅうや,たかはる
嵩良	たかよし,たから
嵩翔	しゅうと,たかと,たけと
数人	かずと,かずひと
菅人	かんと,けんと
澄哉	すみや,とうや
澄士	きよと,すみと
澄春	きよはる,すばる
澄人	きよと,きよひと,すみと
澄晴	きよはる,すばる
澄斗	きよと,すみと
澄遥	きよはる,すばる
澄陽	きよはる,すばる
世希	せいき,としき
世稀	せいき,としき
世輝	せいき,としき
世始貴	よしき,よしたか
世志貴	よしき,よしたか
世詩貴	よしき,よしたか
世太郎	せいたろう,ときたろう
世大	せいだい,としひろ
世明	せいあ,せいめい,としあき
世弥	せいや,ときや
勢真	いくま,せいま
征	すすむ,ただし
征英	まさひで,ゆきひで
征紀	せいき,まさき,ゆきのり
征貴	まさき,ゆきたか
征弘	まさひろ,ゆきひろ
征哉	せいや,まさや,ゆきや
征史	せいじ,まさし,まさふみ
征志	せいじ,まさし
征治	せいじ,まさはる,ゆきはる
征人	いくと,まさと
征仁	まさと,まさひと
征生	まさき,ゆきお
征男	まさお,ゆきお
征典	まさのり,まさふみ,ゆきのり
征斗	せいと,まさと
征之介	せいのすけ,ゆきのすけ
征彦	まさひこ,ゆきひこ
征夫	いさお,まさお,ゆきお
征也	せいや,まさや,もとや,ゆきなり,ゆきや
征弥	せいや,まさや,もとや,ゆきや
征矢	せいや,ゆうや
征雄	まさお,ゆきお
征洋	まさひろ,ゆきひろ
成一	しげかず,せいいち,なるひと,まさかず
成壱	しげかず,せいいち
成雅	せいが,たいが
成介	せいすけ,まさゆき
成喜	しげき,なるき
成基	なるき,まさき
成希	しげき,たいき,なるき,まさき,よしき
成稀	しげき,なるき
成紀	しげき,たいき,なるき
成貴	しげき,せいき,なりたか,なるき
成輝	しげき,たいき,なるき
成吾	せいあ,せいご
成光	せいこう,まさみつ
成孝	しげたか,なりたか
成宏	しげひろ,なりひろ
成幸	しげき,しげゆき,せいこう,なりゆき
成弘	あきひろ,なりひろ,なるひろ
成晃	しげあき,のりあき,まさあき
成浩	しげひろ,なりひろ,なるひろ
成行	しげゆき,なりゆき
成豪	せいごう,なりたか
成哉	せいや,なるき,なるや
成司	じょうじ,せいじ
成史	じょうじ,せいじ,まさひと
成士	じょうじ,せいじ
成士郎	せいしろう,たいしろう
成志	しげゆき,じょうじ,せいじ,たいし,まさし
成志朗	せいしろう,たいしろう
成侍	じょうじ,せいじ
成慈	じょうじ,せいじ
成次郎	せいしろう,せいじろう
成治	しげはる,せいじ
成寿	あきひさ,せいじゅ,なるとし
成樹	しげき,せいき,せいじゅ,たいじゅ,なるき
成修	せいしゅう,なりのぶ
成俊	なるとし,まさとし
成将	あきまさ,なりまさ
成昭	しげあき,のりあき
成真	せいしん,せいま
成人	しげと,なると,なるひと,ひでと,まさと,よしひと
成仁	じょうじ,せいじ,なると,なるひと
成星	じょうせい,なるせ
成正	しげまさ,なりまさ
成生	じょうい,たいき,たいせい,ないき,なるき,なるせ
成太	じょうた,せいた
成太郎	しげたろう,じょうたろう,せいたろう
成汰	じょうた,せいた
成汰朗	じょうたろう,せいたろう
成泰	じょうた,せいた,なりやす
成大	せいた,なりひろ
成典	あきのり,たいすけ
成斗	しげと,たいと,なると,はると,ひでと,まさと
成道	なりみち,なるみち
成徳	しげのり,まさのり
成之	しげゆき,よしゆき
成彦	しげひこ,なるひこ,まさひこ,みちひこ,よしひこ
成文	しげふみ,なりふみ
成也	しげなり,せいや,なるや
成佑	じょう,じょうすけ,せいすけ,せいゆう,たいすけ
成祐	じょうすけ,せいすけ,せいゆう
成裕	しげひろ,なりひろ
成洋	しげひろ,なりひろ
成葉	せいは,せいよう
成陽	しげはる,せいよう,たいよう,なるや
成和	しげかず,せいあ
成翔	なると,まさと
政郁	まさくに,まさふみ
政一	せいいち,まさかず,まさひと
政音	まおと,まさと
政喜	せいき,まさき,まさよし
政希	せいき,まさき
政紀	まさき,まさのり
政貴	まさき,まさたか
政輝	しょうき,まさき,まさてる
政義	せいぎ,まさよし
政敬	まさたか,まさのり,まさよし
政顕	まさあき,まさたか
政光	まさてる,まさひこ,まさみつ
政幸	かずゆき,まさゆき
政克	まさかつ,まさよし
政哉	せいや,まさちか,まさや
政司	しょうじ,せいじ,まさし
政史	まさし,まさふみ
政嗣	まさし,まさつぐ
政志	まさし,まさむね
政次	せいじ,まさつぐ
政治	せいじ,まさはる
政樹	せいじゅ,まさき
政昌	なりまさ,まさよし
政昭	のりあき,まさあき
政章	まさあき,まさふみ
政人	せいと,まさと,まさひと
政仁	まさとよ,まさひと
政成	まさしげ,まさなり
政正	しょうせい,まさただ
政生	まさお,まさき
政太	しょうた,せいた
政太郎	しょうたろう,せいたろう
政鷹	まさたか,ゆきまさ
政直	まさちか,まさなお
政斗	せいと,まさと
政等	まさとし,まさひと
政徳	まさのり,まさよし
政之介	しょうのすけ,せいのすけ
政富	まさと,まさとよ
政也	せいや,まさなり,まさや
政弥	せいや,まさや
政矢	せいや,まさや
政佑	せいすけ,せいゆう
政優	まさひろ,まさや
政養	まさきよ,まさやす,まさよし
政隆	せいりゅう,まさたか
政礼	まさのり,まさゆき
政和	まさかず,まさちか
政廣	せいこう,まさひろ
星希	せいき,ほしき
星貴	せいき,ほしき
星輝	しょうき,せいき,としき,ほしき
星吾	しょうご,せいご
星冴	しょうご,せいご
星司	しょうじ,せいじ
星守	しょうま,せいま
星心	しょうご,せいご,せいしん
星真	しょうま,せいま
星人	せいと,ほしと
星仁	しょうじ,せいじ
星晴	しょうせい,せいは
星生	しょうき,ほしき
星太	しょうた,せいた
星太朗	しょうたろう,せいたろう
星太郎	しょうたろう,せいたろう
星汰	しょうた,せいた
星大	せいた,せいだい
星斗	きらと,しょうと,せいと,ないと,ほしと,らいと
星之介	しょうのすけ,せいのすけ
星舞	しょうま,せいま
星磨	しょうま,せいま
星明	せいあ,せいめい
星也	しょうや,せいや,としや
星優	せいや,せいゆう
星陽	しょうや,せいや,せいよう
星竜	せいた,せいりゅう
星龍	せいた,せいりゅう
星眞	しょうま,せいま
星綺	せいき,ほしき
星翔	せいが,せいと,らいと
晴ノ介	せいのすけ,はるのすけ
晴愛	せいあ,はるちか
晴葵	せいあ,せいき,はるき
晴依	じょうい,はるい
晴一	せいいち,はるかず,はるひと
晴一朗	せいいちろう,はるいちろう
晴一郎	せいいちろう,はるいちろう
晴央	はるお,はるちか
晴乙	はるき,はると
晴雅	せいが,はるま,はるまさ
晴岳	はるたか,はるたけ
晴喜	てるき,はるき,はるのぶ,はるゆき,はるよし
晴希	じょうき,はるき
晴稀	はるき,はるま
晴紀	せいき,はるき,はるよし
晴貴	はるき,はるたか
晴輝	せいき,はるき
晴義	はるき,はるよし
晴久	てるひさ,はるき,はるく,はるひこ,はるひさ
晴暁	はるあき,はるき
晴空	せいあ,はるく,はるたか,はると
晴啓	はるあき,はるたか,はるひろ
晴慶	はるちか,はるよし
晴敬	はるあき,はるたか
晴光	せいこう,はるひこ,はるみつ
晴幸	せいご,はるき,はるゆき
晴哉	せいや,はるき,はるちか,はるや
晴才	はるとし,はるまさ
晴司	じょうじ,せいじ,はるし
晴史	じょうじ,せいじ,はるし,はるひと,はるふみ
晴嗣	せいじ,はるし
晴士	せいじ,はるし,はると
晴志	じょうじ,せいじ,はるし
晴至	せいじ,はるし,はるちか
晴至郎	せいしろう,せいじろう
晴慈	じょうじ,せいじ,はるちか
晴次	じょうじ,せいじ
晴滋	せいじ,はるしげ
晴治	じょうじ,せいじ,はるよし
晴樹	せいき,せいじゅ,はるき
晴秋	せいしゅう,はるあき
晴充	はるみち,はるみつ
晴将	はるま,はるまさ,はるゆき
晴祥	はるき,はるゆき
晴章	はるあき,はるき
晴丈	はるたけ,はるとも,はるひろ
晴信	はるのぶ,はるみち
晴真	せいま,はるま,はるまさ
晴人	せいと,はると,はるひこ,はるひと
晴仁	せいじ,はると,はるひと
晴成	はるあき,はるなり
晴政	はるまさ,はるゆき
晴生	はるお,はるき
晴誠	はるあき,はるま
晴多	せいた,はるた
晴太	せいた,はるた,はると
晴太朗	じょうたろう,せいたろう,はるたろう
晴太郎	じょうたろう,せいたろう,はるたろう
晴汰	せいた,はるた
晴汰朗	じょうたろう,せいたろう
晴泰	はるた,はるよし
晴大	せいた,せいだい,はるき,はるた,はると,はるひろ,はるまさ
晴大郎	せいたろう,はるたろう
晴天	きよたか,せいま,はるたか,はるま
晴斗	せいと,はると
晴渡	せいと,はると
晴道	せいどう,はると,はるみち
晴任	せいと,はると
晴之	てるゆき,はるゆき
晴之介	せいのすけ,はるのすけ
晴之祐	せいのすけ,はるのすけ
晴敏	はると,はるとし
晴富	せいと,はると
晴磨	せいま,はるま
晴万	はるたか,はるま
晴満	はるま,はるみち
晴稔	はるとし,はるなり
晴明	せいあ,せいめい,はるあき
晴也	せいや,はるなり,はるや
晴矢	せいや,はるや
晴優	てるまさ,はるま,はるまさ
晴友	はると,はるとも
晴悠	せいゆう,はるちか,はるひさ
晴裕	せいすけ,はるひろ
晴与	はるとも,はるよし
晴来	はるき,はるく
晴利	はると,はるとし
晴理	はるたか,はるみち
晴隆	せいりゅう,はるたか,はると
晴來	はるき,はるく
晴暉	はるあき,はるき
晴煌	はるあき,はるき
晴琥	せいご,はるく
正郁	まさくに,まさふみ
正一	しょういち,せいいち,まさかず,まさひと
正一郎	しょういちろう,せいいちろう
正允	まさちか,まさみつ
正映	まさてる,まさはる
正栄	しょうえい,まさはる
正瑛	まさあき,まさてる
正英	しょうえい,まさひで,まさよし
正往	まさみち,まさゆき
正佳	ただよし,まさよし
正嘉	ただよし,まさよし
正賀	せいが,まさのり,まさよし
正寛	まさのり,まさひろ
正喜	まさき,まさよし
正希	しょうき,まさき
正毅	せいき,まさき,まさたけ
正紀	まさき,まさとし,まさのり,まさみち
正規	まさき,まさちか,まさのり
正記	まさき,まさのり
正貴	しょうき,まさき,まさたか
正起	まさき,まさゆき
正輝	なおき,まさき,まさてる
正騎	しょうき,せいき,まさき
正儀	まさき,まさのり
正義	せいぎ,ただよし,まさよし
正吉	しょうきち,まさよし
正恭	まさやす,まさゆき
正訓	まさくに,まさのり
正啓	なおひろ,まさひろ
正慶	まさちか,まさよし
正敬	まさたか,まさよし
正継	なおつぐ,まさつぐ
正憲	まさあき,まさのり
正顕	まさあき,まさてる
正己	しょうき,まさき
正虎	しょうご,まさと,まさとら
正呉	しょうご,せいご
正吾	しょうご,せいご
正悟	しょうご,せいご
正護	しょうご,せいご
正倖	せいこう,まさゆき
正光	まさてる,まさみつ
正幸	まさたか,まさゆき,まさよし
正晃	まさあき,まさてる
正貢	まさつぐ,まさみつ
正剛	しょうご,せいごう,まさたか,まさたけ,まさのり,まさよし
正哉	しょうや,せいや,まさちか,まさや
正三	しょうぞう,まさかず,まさみつ
正司	しょうじ,せいじ,まさし
正史	ただし,まさし,まさひと,まさふみ
正嗣	しょうじ,まさし,まさつぐ
正士	しょうじ,ただし,まさし,まさと,まさひと
正志	しょうじ,ただし,まさし,まさむね
正慈	せいじ,まさちか
正次	しょうじ,せいじ,まさつぐ
正次郎	しょうじろう,せいじろう
正治	しょうじ,せいじ,まさはる
正識	まさし,まさのり
正寿	せいじゅ,まさとし
正樹	しょうき,せいじゅ,まさき
正修	せいしゅう,ただまさ,まさのぶ
正秀	ただひで,まさひで
正充	まさみち,まさみつ
正淑	まさとし,まさよし
正純	せいじゅん,まさずみ
正順	せいじゅん,まさかず
正勝	しょうた,まさかず,まさかつ
正将	まさのぶ,まさゆき
正尚	まさたか,まさなお
正章	まさあき,まさふみ
正丈	まさたけ,まさひろ
正真	しょうま,せいま
正臣	ただおみ,まさおみ
正人	まさと,まさひと
正仁	しょうと,まさとよ,まさひと
正粋	しょうき,まさき
正澄	まさきよ,まさずみ
正成	まさしげ,まさなり
正晴	せいは,まさはる
正生	まさお,まさき
正誠	しょうせい,まさなり,まさのぶ,まさよし
正雪	まさきよ,まさゆき
正宣	まさのぶ,まさのり
正善	ただよし,まさよし
正多	しょうた,せいた
正太	しょうた,せいた
正太朗	しょうたろう,せいたろう
正太郎	しょうたろう,せいたろう
正汰	しょうた,せいた
正泰	せいた,まさやす
正大	しょうた,せいた,せいだい,まさひろ
正大朗	しょうたろう,せいたろう
正知	まさかず,まさとも
正智	まさと,まさとも
正直	ただなお,まさなお
正通	まさみち,まさみつ
正哲	まさあき,まさのり
正典	まさのり,まさふみ
正展	まさのぶ,まさひろ
正斗	たかと,まさと
正道	ただみち,なおみち,まさみち
正二	しょうじ,せいじ,まさつぐ
正之助	しょうのすけ,せいのすけ
正馬	しょうま,せいま
正彦	さだひこ,ただひこ,まさひこ
正武	しょうぶ,まさたけ
正睦	まさちか,まさよし
正也	しょうや,せいや,まさなり,まさや
正弥	せいや,まさや
正佑	しょうすけ,せいすけ
正悠	せいゆう,まさはる
正裕	まさひろ,まさやす
正雄	まさお,まさたけ
正洋	ただひろ,まさひろ
正陽	まさあき,まさてる,まさはる
正理	しょうり,まさのり,まさみち
正隆	せいりゅう,まさたか
正倫	ただみち,まさとも,まさのり,まさみち
正路	しょうじ,せいじ,まさみち
正和	まさかず,まさかつ
正壽	まさかず,まさとし
正晟	しょうせい,まさあき
正暉	しょうき,まさあき,まさき
正翔	しょうと,なおと,まさと
清ノ介	しんのすけ,せいのすけ
清一	きよかず,きよひと,せいいち
清一朗	しんいちろう,せいいちろう
清壱	しんいち,せいいち
清羽	しんば,せいは
清雅	きよまさ,せいが
清介	しょうすけ,せいすけ
清紀	きよのり,せいき
清貴	きよたか,せいき
清輝	きよてる,せいき
清匡	きよただ,きよまさ
清元	きよはる,しんげん
清玄	きよはる,しんげん
清吾	しんご,せいご
清光	きよてる,せいこう
清剛	きよたか,きよたけ,せいご,せいごう
清司	きよじ,せいじ
清司郎	きよしろう,せいしろう
清史	きよふみ,せいじ
清史朗	きよしろう,せいしろう
清史郎	きよしろう,せいしろう
清四郎	きよしろう,せいしろう
清士郎	きよしろう,せいしろう
清志朗	きよしろう,せいしろう
清志郎	きよしろう,せいしろう
清児	きよじ,せいじ
清次	きよじ,きよつぐ,せいじ
清治	きよじ,きよはる,せいじ
清寿	きよひさ,せいじゅ
清秀	きよひで,せいしゅう
清春	きよはる,せいは
清順	きよかず,せいじゅん
清尚	きよたか,きよひさ
清丈	きよたけ,せいた
清真	きよまさ,しょうま,せいま
清人	きよと,きよひと,さやと,せいと
清仁	きよと,きよひと,せいじ,せいと
清晴	きよはる,すばる
清正	きよただ,きよまさ
清多	きよかず,きよた,せいた
清太	きよた,しょうた,しんた,せいた
清太朗	しょうたろう,じんた,せいたろう
清太郎	しょうたろう,じんた,せいたろう
清汰	しょうた,せいた
清大	きよまさ,せいた,せいだい
清大朗	しょうたろう,せいたろう
清鷹	きよたか,せいよう
清知	きよかず,きよとも
清智	きよとも,せいじ
清斗	きよと,さやと,しょうと,せいと
清渡	きよと,せいと
清登	きよと,さやと,すみと,せいと
清都	きよと,せいと
清二	きよじ,せいじ
清之介	しんのすけ,せいのすけ
清之助	しんのすけ,せいのすけ
清之佑	しんのすけ,せいのすけ
清覇	しんば,せいは
清弥	きよひさ,せいや
清悠	きよはる,きよひさ
清陽	きよはる,すばる,せいよう
清隆	きよたか,せいりゅう
清眞	しょうま,せいま
清翔	きよと,さやと,せいと
生音	いくと,さくと,なおと
生悟	しょうご,せいご
生真	いくま,しょうま
生人	いくと,たかと
生晴	しょうせい,せいは
生太	いくた,しょうた,せいた
生馬	いくま,しょうま
生磨	いくま,しょうま
生也	いくや,たかや
生弥	いくや,せいや
生眞	いくま,しょうま
盛	しげる,しょう,じょう,もり
盛一	しげかず,せいいち,もりひと
盛一朗	じょういちろう,せいいちろう
盛央	もりお,もりひさ
盛史	もりひさ,もりふみ
盛時	じょうじ,せいじ
盛次	しげつぐ,もりつぐ
盛治	せいじ,もりはる
盛寿	もりとし,もりひさ
盛人	もりと,もりひと
盛太郎	しょうたろう,じょうたろう,もりたろう
盛大	せいた,もりひろ
盛道	せいどう,もりみち
盛文	もりひさ,もりふみ
盛也	せいや,もりや
盛弥	せいや,もりひさ
盛悠	もりはる,もりひさ
盛裕	もりひろ,もりやす
盛翔	せいと,もりと
精	すぐる,つとむ,まさし,まさる
聖一	きよひと,せいいち,まさかず
聖一郎	しょういちろう,せいいちろう
聖英	きよひで,しょうえい
聖音	きよと,しょうおん,しょうと,せいと,せいん
聖貴	きよたか,しょうき,せいき,まさき,まさたか
聖輝	きよてる,せいき,せいぎ,まさき
聖騎	せいき,まさき
聖義	せいぎ,まさよし
聖敬	きよたか,さとし
聖悟	しょうご,せいご
聖梧	しょうご,せいご
聖護	しょうご,せいご
聖哉	しょうや,せいや,まさや
聖冴	しょうご,せいご
聖司	さとし,せいじ
聖史	きよふみ,さとし,せいじ,としふみ,まさし,まさふみ,よしふみ
聖史郎	きよしろう,せいしろう
聖士	きよと,さとし,せいじ,せいと,まさと
聖志	さとし,せいじ,まさし
聖志郎	きよしろう,せいしろう
聖至	まさし,まさちか
聖治	きよはる,せいじ
聖寿	きよひさ,せいじゅ
聖樹	さとき,せいき,せいじゅ,まさき
聖真	しょうま,せいま
聖人	あきひと,きよと,きよひと,せいと,まさと
聖仁	きよひと,まさと,まさひと
聖晴	きよはる,せいは
聖正	きよただ,きよまさ
聖誠	しょうま,せいま
聖太	きよた,さんた,しょうた,せいた
聖太郎	しょうたろう,せいたろう
聖大	しょうた,しょうだい,せいた,せいだい,せいと,まさひろ
聖智	まさと,まさとも
聖典	きよのり,たかのり,まさのり
聖天	しょうま,せいあ
聖斗	きよと,しょうと,せいと,まさと
聖登	きよと,せいと,まさと
聖都	きよと,きりと,せいと,まさと
聖冬	きよと,まさと
聖之介	しょうのすけ,せいのすけ
聖之助	しょうのすけ,せいのすけ
聖馬	しょうま,せいま
聖彦	きよひこ,まさひこ
聖文	きよふみ,としふみ,まさふみ,よしふみ
聖磨	しょうま,せいま,れいま
聖明	せいあ,せいめい,まさあき
聖也	しょうや,せいや,としや,まさなり,まさや
聖夜	せいや,まさや
聖矢	せいや,まさや
聖悠	きよはる,ひゆう,まさはる
聖洋	せいよう,まさひろ
聖陽	きよはる,せいや,せいよう,まさあき,まさはる,まさや
聖琉	しょうり,せいりゅう
聖隆	きよたか,まさたか
聖竜	しょうり,せいりゅう
聖綺	せいき,まさき
聖翔	きよと,しょうと,まさと
聖茉	しょうま,せいま
誠葵	せいあ,ともき,まさき
誠一	こういち,せいいち
誠英	あきひで,まさひで
誠喜	せいき,まさき
誠希	せいき,ともき,まさき
誠紀	せいき,まさのり
誠規	せいき,もとき
誠記	せいき,もとき
誠貴	せいき,ともき,ともたか,まさき,まさたか
誠輝	せいき,まさき
誠騎	せいき,まさき
誠義	せいぎ,ともよし
誠久	さねひさ,よしひさ
誠己	せいき,ともき,なるき,まさき,もとき
誠虎	たかと,まさとら
誠悟	せいご,まさのり
誠幸	あきゆき,せいこう,ともゆき,なりゆき,まさゆき
誠広	あきひろ,まさひろ
誠浩	あきひろ,ともひろ
誠行	のりゆき,まさゆき
誠剛	せいごう,のぶたか,まさたか
誠哉	せいや,まさや
誠司	じょうじ,せいじ,たかし
誠司郎	せいしろう,せいじろう
誠史	せいじ,まさし,まさふみ
誠士	じょうじ,せいじ,せいと,たかし
誠士朗	せいしろう,せいじろう
誠士郎	せいしろう,せいじろう
誠志	さとし,じょうじ,せいじ,まさし
誠志郎	せいしろう,せいじろう
誠樹	せいき,せいじ,ともき,まさき
誠充	せいあ,まさみち
誠章	あきのり,まさあき
誠真	せいしん,せいま
誠人	あきひと,しげと,せいと,ともひと,のぶひと,まさと,まさひと
誠仁	あきひと,じょうじ,せいじ,せいと,たかひと,ともひと,なるひと,まさと,まさひと
誠成	のぶしげ,まさなり
誠晴	ともはる,もとはる
誠正	あきまさ,なりまさ,よしまさ
誠生	さとき,まさお,まさき
誠則	まさのり,よしのり
誠太	せいた,せいだい,ともた
誠太郎	じょうたろう,せいたろう,ともたろう
誠泰	せいた,せいや
誠大	せいた,せいだい,たかはる,ともひろ,なるひろ,まさひろ
誠大郎	じょうたろう,せいたろう
誠智	あきとも,せいじ
誠斗	せいと,たかと,まさと
誠登	せいと,まさと
誠都	しげと,せいと,まさと
誠道	じょうじ,せいどう,まさみち
誠二朗	せいしろう,せいじろう
誠之	しげゆき,たかゆき,まさゆき
誠彦	ともひこ,よしひこ
誠芳	あきよし,のぶよし
誠満	まさみち,まさみつ
誠明	せいあ,せいめい,ともあき,まさあき
誠也	しげなり,せいや,たかや,ともや,まさや
誠弥	せいや,ともや
誠矢	せいや,ともや
誠悠	せいゆう,ともはる
誠陽	あきはる,ともはる,まさはる
誠亮	せいすけ,ともあき
誠路	じょうじ,せいじ,まさみち
誠朗	ともあき,のぶあき,まさあき
誠和	せいあ,まさかず
誠眞	せいしん,せいま
誠翔	せいと,たかと,まさと
青ノ介	しょうのすけ,せいのすけ
青一郎	しょういちろう,せいいちろう
青希	せいき,はるき
青哉	あおや,せいや
青史	せいじ,はるふみ
青心	せいしん,せいじ
青真	しょうま,はるま
青多	あおた,はるた
青太	あおた,せいた,はるた
青太郎	しょうたろう,せいたろう
青汰	あおた,せいた,はるた
青大	せいた,はるた,はると
青斗	せいと,はると
青馬	しょうま,せいま,はるま
青也	せいや,はるや
青弥	あおや,せいや
青矢	あおや,せいや
青亮	じょうすけ,せいすけ
青翔	しょう,せいと,はると
静哉	しずや,せいや
静真	しずま,せいま
静麻	しずま,せいま
静也	しずや,せいや
静弥	しずや,せいや
斉也	せいや,ときなり,ときや
碩	ひろし,ゆたか
節	さとる,たかし
節夫	ただお,みねお
節雄	たかお,みねお
雪彦	きよひこ,ゆきひこ
雪也	ゆきなり,ゆきや
千雅	かずまさ,ゆきまさ
千成	かずなり,ゆきなり
千也	かずなり,ゆきや
宣一	せんいち,のりかず
宣希	のぶき,よしき
宣機	のぶき,のりき
宣輝	のぶき,のぶてる,のりき,よしき
宣広	のぶひろ,のりひろ
宣尚	のぶたか,のぶなお
宣昭	のぶあき,のりあき
宣人	のぶと,のぶひと,のりと
宣仁	のぶひと,のりひと,よしと
宣生	のぶお,のぶき
宣男	のぶお,のりお
宣範	ひさのり,ひろのり
宣彦	のぶひこ,のりひこ,よしひこ
宣夫	のぶお,のりお
宣明	のぶあき,のりあき
宣雄	のぶお,のりお
宣隆	のぶたか,のりたか
泉輝	いずき,みつき
善	ぜん,ただし
善一	よしかず,よしひと
善乙	よしつぐ,よしと
善基	よしき,よしもと
善紀	よしき,よしのり
善規	よしき,よしのり
善輝	よしあき,よしき,よしてる
善久	さく,よしひさ
善浩	よしはる,よしひろ
善哉	ぜんや,よしや
善宗	よしたか,よしむね
善春	よしかず,よしはる
善人	よしと,よしひと
善仁	よしと,よしひと
善成	よしあき,よしなり
善生	よしお,よしき
善大	ぜんた,よしお,よしひろ
善男	よしあき,よしお
善也	ぜんや,よしなり,よしや
善弥	ぜんや,よしや
善矢	ぜんや,よしや
善朗	よしあき,よしお,よしろう
善郎	よしお,よしろう
