歩都	あゆと,あると
歩利	あゆと,あると
歩翔	あゆと,あると
朴	すなお,はく
麻人	あさと,あさひ
麻飛	あさと,あさひ
槙	しん,てん
未来	あすか,いつか,かなた
湊	かなで,そう
湊羽	そうは,そうわ
湊羅	そうら,そら
湊來	そら,みらい
稔	とし,なる
無月	なつき,むつき
明	てる,ひろ
明音	あおと,あきと
明史	あかし,あきふみ
明士	あかし,あきと
明生	あいき,あお,あおい,あきお
明文	あきふみ,あもん
明怜	あさと,あれん
靖	おさむ,せい
唯弦	いづる,ゆづる
唯真	いさな,いしん
唯生	いお,ゆう
優光	まさみ,まひろ
優樹	うた,ゆう
勇羽	ゆう,ゆうわ
悠冴	はるひ,ゆうひ
悠生	はるせ,ひさき
悠飛	はるひ,ゆうひ
悠柊	はるひ,ゆうひ
悠桧	はるひ,ゆうひ
悠良	ゆうら,ゆうり
悠暉	はるひ,ひさき
有音	あおと,あると
有浬	あり,ゆうり
有生	あお,あおい,ゆう
柚利	ゆうり,ゆずき
祐生	ちせい,ゆう
雄	かず,のり,まさ
融	あきら,ゆう
耀	あき,あきら,てる,ひかる
葉海	はる,よう
要	もと,よう
要人	かなと,かなめ
遥光	はるひ,はるみ
陽	あさひ,てる
陽音	あきお,あきと
陽輝	あきら,ひなき
陽樹	ひなき,ひびき
陽成	あきなり,はるせ
陽生	あきお,はるせ,ひさき,ひなき,よう
来李	らい,らいり
来侑	くう,こう
雷	あずま,らい
藍夏	あいが,あいが
藍河	あいが,あいが
藍牙	あいが,あいが
藍駕	あいが,あいが
藍楽	あいが,あいが
藍士	あいじ,あいと
利恩	りお,りおん
利士	とし,りと
利斗	りつ,りと
利和	とわ,りお
吏臣	りお,りおん
吏斗	りつ,りと
李斗	りつ,りと
理	とし,まこと,よし
理士	りお,りと
理人	あきと,あやと,りと
理斗	あやと,りつ,りと
璃士	あきと,りお,りと
璃人	あきと,りと
璃仁	あきと,りと
璃斗	あきと,りつ
璃土	あきと,りと
璃飛	あきと,りと
璃陽	あきひ,りお
璃留	あきと,りと
璃翔	あきと,りと
陸	あつし,あゆむ,たか
陸揮	あつき,むつき
陸稀	あつき,むつき
陸樹	あつき,むつき
流	はる,るう
流翔	りと,るか
琉	るい,れん
龍生	りお,りょう
亮人	あきと,まこと
亮生	あきお,りょう
涼央	りお,りょう
涼生	りお,りょう
稜央	りお,りょう
稜月	いつき,かつき
稜生	いつき,りょう
良	あきら,かず,たか,まこと,よし
良音	いおん,かずね
良生	らい,りょう
諒	あきら,まさ
諒音	あきと,りおん
諒人	あきと,あさと
領	かなめ,りょう
嶺生	ねお,りょう
礼	なり,らい
礼人	あきと,あやと
礼知	あやと,らいち
礼斗	あきと,あやと
麗音	かずね,りと
廉	きよし,すなお
朗	あきら,たか
禄	とし,よし
和	たか,まさ
和維	かい,かずい
和基	かずき,かづき
和義	かずよし,なぎ
和絃	あいと,かいと
和己	かずき,かずみ
和士	あいと,あきと
和真	かずさ,かずま
和誠	かずあき,かずま
和総	かずさ,なぎさ
和槻	かずき,なつき
和斗	あいと,おと
和都	おと,かず
和穂	かずお,なお
和芳	かずほ,かずよし
和巳	かずみ,かずや
和誉	かずほ,かずよし
和良	かずみ,かずよし
和已	かずい,かずみ
和暉	あいき,かずき
和翔	あいと,おと
來一	きいち,らいち
凛士	りお,りと
凛斗	りつ,りと
凰司	おうじ,こうじ
凰生	おうせい,こうき
實	おさむ,まこと
惠士	あやと,けいと
惠仁	あやと,けいと
惠登	あやと,けいと
應	まさ,よう
昊	あきら,ひろ
昊樹	こうき,こうじゅ
昊晴	こうは,そらは
昊生	こう,こうき
昴	あきら,こう
晄士	あきと,こうじ
晄大	おうた,こうき
晨	あきら,あした,しん
晟	あきら,せい,てる,まさ
暉	あき,てる
榮士	えいじ,えいと
榮琉	えいる,はる
櫂人	かいと,かいり
櫂生	かい,かいせい
櫂利	かいと,かいり
櫻華	おうが,はるか
煌	あきら,てる,ひかる
煌羽	こう,こうは
煌仁	あきと,こうじ
煌晴	きはる,こうは
煌生	おうせい,こうき
煌大	あきと,おうた,こうき
煌翔	あきと,おうが
燿	あき,あきら
琥羽	くう,こあ
琥生	こう,たまき
琥佑	くう,こう
皓	あきら,こう,てる,ひろ
眞	しん,まさ
禮	あき,らい
笙	せい,そう
綺一	あやと,きいち
翔	そなた,つばさ
翔威	かい,とい
翔惟	かい,とい
翔月	かつき,かづき
翔生	かい,かなる,とい
翔大	かいと,かける
翔斗	かいと,かなと
翔夢	かける,つばさ
莉士	りお,りと
莉青	りお,れい
諧生	かい,かいせい
頌	うた,よう
颯	かける,そう,そら
颯羽	そうは,そうわ
黎音	りお,りおん,りと
黎人	あきと,りと
黎斗	あきと,りつ,りと
槇	しん,てん
凜都	りつ,りと
