髙	こう,たか
真道	しんどう,まみち
真鍋	あみたに,まなべ
真能	まの,まのう
真尾	さなお,ましお
真部	まなべ,まべ
真柄	まから,まがら
真保	しんぼ,しんぽ
真方	まかた,まがた
真名子	なまご,まなこ,まなご
真木	さなぎ,まき
真里谷	まりたに,まりや
神	かみ,こう,じん
神園	かみその,かみぞの
神屋	かみや,こうや
神吉	かみよし,かんき
神宮	かみや,しんぐ,じんぐう
神宮司	じんぐうし,じんぐうじ
神橋	かみはし,かんばし
神郡	かみごおり,かんごおり
神原	かみはら,かんばら,こうはら,こうばら
神戸	かんこ,かんど,かんべ,こうべ,ごうど
神崎	かんざき,こうざき
神作	かみさく,かんさく,かんざく
神山	かみやま,こうやま
神社	かんじゃ,じんじゃ,じんや
神呪	かんの,かんのう
神出	かみで,じんで
神沼	かぬま,かみぬま
神場	かんば,じんば
神森	かみもり,かんもり
神瀬	かみせ,こうのせ
神西	かみにし,じんざい
神川	かみかわ,じんかわ
神前	かみさき,かみまえ,かんざき,こうさき,こうざき
神村	かみむら,こうむら
神代	かくみ,かじろ,かみしろ,くましろ,こうしろ,こうじろ,じんだい
神沢	かみざわ,かんざわ,こうざわ
神谷	かみたに,かみや,こうや,みたに
神長	かみなが,じんちょう
神鳥	かみとり,かんどり
神津	こうず,こうづ
神通	じんずう,じんつう,じんづう
神塚	かみつか,かみづか
神定	かみさだ,かんじょう
神庭	かんば,じんば
神殿	こうどの,こどの
神田	かんだ,こうだ,じんでん
神奴	かみやっこ,しんど
神島	かみしま,かみじま,こうしま
神嶋	かみしま,かみじま
神藤	かみふじ,かんどう,しんとう,しんどう,じんとう,じんどう
神頭	かんとう,こうず,しんどう
神道	しんどう,じんどう
神徳	こうとく,しんとく,じんとく
神内	かみうち,じんない
神南	かみなみ,かんなみ
神之田	かみのた,かみのだ
神納	かんのう,じんのう
神能	かんの,かんのう,じんのう
神農	かみのう,かんの,こうのう,しんのう,じんの
神馬	じんば,じんま
神尾	かみお,かんお,しんのお
神品	こうしな,こうじな
神部	かみべ,かんぶ,かんべ,じんぶ
神辺	かんなべ,かんべ,しんべ
神保	しんぼ,じんぼ,じんぼう,じんぽう
神木	かみき,かんき,しんのき
神門	かみかど,かんど,かんもん,ごうど,ごうどう,しんもん
神野	かみの,かんの,こうの,じんの
神野志	かみのし,こうのし
神余	かなまる,しんよ
神里	かみさと,かみざと,かんざと
神立	かみだて,かんだち,かんだつ,かんだて,じんたて
神嵜	かんざき,こおざき
神澤	かみさわ,かみざわ,かんざわ
秦	しん,はた,はだ
秦野	しんの,はたの,はだの
薪苗	まきない,まきなえ
親川	おやかわ,しんかわ
進	しん,すすむ
進士	しんし,しんじ
進藤	しんとう,しんどう
進来	すすき,すずき
針生	はりう,はりゅう
針替	はりかい,はりかえ
針谷	はりがい,はりがえ,はりがや,はりや
仁井田	にいた,にいだ
仁熊	にくま,にぐま
仁戸田	にえた,にえだ,にとだ
仁杉	にすぎ,ひとすぎ
仁村	にむら,ふたむら
仁張	にんばり,にんぼり
仁田	にた,にった
仁田原	にたはら,にたばる
仁瓶	にへい,にべ
仁部	にぶ,にべ
仁平	にだいら,にひら,にへい
仁木	にき,にっき
仁礼	にれ,にれい
仁禮	にれ,にれい
壬生	いくるみ,みぶ
甚田	じんた,じんだ
陣内	じんない,じんのうち
諏江	すい,すえ
諏訪内	すわない,つわうち
諏澤	すさわ,すざわ
須々木	すすき,すずき
須加	すか,すが
須賀	すか,すが
須賀原	すがはら,すがわら
須崎	すさき,すざき
須川	すかわ,すがわ
須谷	すがい,すたに,すだに,すや
須知	しうち,しゅうち,すち
須藤	すとう,すどう
須方	すかた,すがた
酢谷	すたに,すだに
図師	ずし,づし
吹越	ふきこし,ふっこし
吹上	ふきあげ,ふきがみ
吹田	すいた,ふきた,ふきだ
垂	たるみ,たれ
垂水	たるみ,たるみず
水柿	みずかき,みずがき
水原	すいばら,みずはら
水戸	すいど,みずと,みと
水戸川	みとかわ,みとがわ
水口	みずくち,みずぐち,みづぐち,みなくち,みなぐち
水江	みずえ,みずのえ
水主	すいしゅ,みずし
水上	みずかみ,みずがみ,みなかみ
水城	みずき,みずしろ
水谷	みずがい,みずたに,みずのや,みずや
水町	みずまち,みづまち
水津	すいず,すいつ,すいづ
水田	すいた,みずた,みづた
水渡	すいと,みと
水本	みずもと,みづもと
水門	すいもん,みずかど
水溜	みずたまり,みずため
嵩	かさみ,だけ
嵩原	たかはら,たけはら
数原	かずはら,すはら
数納	かずのう,すのう
杉﨑	すぎさき,すぎざき
杉園	すぎその,すぎぞの
杉崎	すぎさき,すぎざき
杉上	すぎうえ,すぎがみ
杉生	すぎう,すぎお,すぎせ,すぎよ
杉谷	すぎたに,すぎや
杉目	すぎのめ,すぎめ
杉立	すぎたつ,すぎたて
菅	かん,すが,すげ
菅家	かんけ,すがや
菅間	かんま,すがま
菅原	すがはら,すがわら
菅崎	かんざき,すがさき
菅生	すがお,すがせ,すごう,すごお
菅川	すがかわ,すげかわ
菅谷	すがたに,すがや,すげのや
菅田	かんだ,すがた,すげた
菅嶋	すがしま,すがじま
菅納	かんの,すがのう
菅波	かんなみ,すがなみ
菅付	すがつき,すがつけ
菅野	かんの,すがの,すげの
雀部	ささいべ,ささべ
澄田	すみた,すみだ
摺寺	すりじ,すりでら
世永	せなが,よなが
世取山	せとりやま,よとりやま
世田	せた,よだ
世登	せと,よと
世木	せき,せぎ
世木田	せきた,せきだ
世良田	せらた,せらだ
瀬	せ,やなせ
瀬ノ口	せのくち,せのぐち
瀬越	せこし,せごえ,せごし
瀬下	せした,せしも,せじも
瀬戸口	せとくち,せとぐち
瀬上	せがみ,せのうえ
瀬谷	せたに,せや
瀬津	せっつ,せつ
瀬島	せしま,せじま
瀬之口	せのくち,せのぐち
瀬畑	せはた,せばた
瀬尾	せお,せのお
瀬木	せき,せぎ
畝田	あぜた,うねた,うねだ
畝本	あぜもと,うねもと
是津	ぜっつ,ぜつ
成井	なりい,なるい
成岡	なりおか,なるおか
成吉	なりよし,なるよし
成宮	なりみや,なるみや
成戸	なりと,なると
成山	なりやま,なるやま
成住	なりずみ,なるずみ
成瀬	なりせ,なるせ
成清	なりきよ,なるきよ,なるせ
成川	なりかわ,なりがわ,なるかわ
成沢	なりさわ,なるさわ
成谷	なりたに,なるたに
成塚	なりつか,なりづか
成田	なりた,なるた
成島	なりしま,なるしま
成内	なりうち,なるうち
成迫	なりさこ,なるさこ
成尾	なりお,なるお
成富	なりとみ,なるとみ
成冨	なりとみ,なるとみ
成本	なりもと,なるもと
成毛	なるけ,なるげ,なるも
成木	なりき,なるき
成澤	なりさわ,なるさわ
星谷	ほしたに,ほしや
星島	ほししま,ほしじま
晴	はるまき,はれ,はれまき
晴山	はるやま,はれやま
晴披	はるまき,はれまき
栖原	しゅはら,すはら
正	しょう,まさ
正井	しょうい,まさい
正垣	しょうがき,まさがき
正山	しょうやま,まさやま
正信	しょうしん,まさのぶ
正村	しょうむら,まさむら
正田	しょうだ,まさだ
正藤	しょうとう,まさとう
正坊地	しょうぼうじ,しょうぼうち
正野	しょうの,まさの
正林	しょうばやし,まさばやし
正路	しょうじ,しょうろ
正脇	しょうわき,まさわき
清	きよ,きよし,せい
清遠	きよとう,きよとお
清家	きよか,きよや,せいけ
清間	きよま,せいま
清久	きよく,せいきゅう
清宮	きよみや,せいみや
清山	きよやま,せいやま
清住	きよすみ,きよずみ
清水	きよみず,しみず
清水上	しずがみ,しみずがみ
清川	きよかわ,せいがわ,せがわ
清沢	きよさわ,きよざわ
清谷	きよたに,せいや
清塚	きよつか,きよづか
清田	きよた,きよだ,せいた,せいだ
清島	きよしま,きよじま,せいしま
清藤	きよとう,きよふじ,せいとう,せいどう
清木場	きよきば,きよこば,せいこば
清野	きよの,せいの
清利	きよとし,せいり
清澤	きよさわ,せいざわ
牲川	せがわ,にえかわ,にえがわ
生井	いくい,なまい
生稲	いくいな,いくいね
生永	いきなが,いくなが
生越	いきこし,いきごし,おごし,おごせ
生塩	うしお,おしお
生貝	いきがい,いけがい
生亀	いき,いきがめ
生原	いきはら,いくはら,はいばら
生山	いきやま,いくやま,おいやま
生松	いけまつ,おいまつ
生水	いきみず,おみず,しょうず
生瀬	いくせ,おうらい,おおせ,なませ
生盛	いくもり,せいもり
生川	いくかわ,いくがわ,おいかわ,なるかわ
生沢	いくさわ,いくざわ,いけざわ
生谷	いきたに,いくたに
生地	いきち,いくじ,いくち,いくぢ,おいじ,おいぢ,おち,しょうじ,せいち
生津	いきつ,なまず,なまづ
生天目	なばため,なまため
生田	いきた,いくた,しょうだ
生田目	いくため,なばため,なまため
生島	いきしま,いくしま,おじま,しょうじま
生嶋	いきしま,いくしま
生藤	いくとう,いけふじ
生内	うぶない,しょうない,はえうち
生南	いくなみ,しょうなん
生馬	いくま,いこま
生尾	いくお,なまお
生部	いくべ,いけべ,しょうぶ
生木	いくき,せいき,なるき
生野	いくの,うぶの,しょうの
生頼	おうらい,おおらい
生澤	いくさわ,いくざわ,いけざわ,うぶさわ
盛永	もりえ,もりなが
盛山	せいやま,もりやま
盛実	もりさね,もりざね
盛谷	さかりたに,もりたに,もりや
盛野	しげの,もりの
西家	にしいえ,にしけ
西海	さいかい,にしうみ,にしかい,にしがい
西開地	にしかいち,にしがいち
西垣内	にしがいち,にしがいと,にしがきうち
西潟	にしかた,にしがた
西舘	にしたて,にしだて
西丸	さいまる,にしまる
西亀	にしがめ,にしき
西宮	にしのみや,にしみや
西橋	にしはし,にしばし
西郡	にしごうり,にしごおり
西形	にしかた,にしがた
西原	さいばら,にしはら,にしばら
西戸	にしと,にしど
西光	さいこう,にしみつ
西坂	にしさか,にしざか
西阪	にしさか,にしざか
西崎	にしさき,にしざき
西出	にしいで,にしで
西勝	さいかつ,さいしょう,にしかつ
西上	にしうえ,にしかみ,にしがみ
西上床	にしうえどこ,にしうわとこ
西神	にしかみ,にしがみ
西須	さいす,にしす
西川	さいかわ,にしかわ,にしがわ
西川原	にしかわはら,にしかわら,にしがわら
西前	さいぜん,にしまえ
西側	にしがわ,にしら
西谷	にしたに,にしや
西谷内	にしやうち,にしやち
西端	にしはた,にしばた,にしべり
西地	にしじ,にしち
西津	にしず,にしつ,にしづ
西塚	にしつか,にしづか
西堤	にしつつみ,にしづつみ
西田	さいた,にした,にしだ
西島	にししま,にしじま
西藤	さいとう,にしふじ
西頭	さいとう,にしとう
西堂	さいどう,にしどう
西道	さいどう,にしみち
西迫	にしさこ,にしざこ,にしはく
西畑	にしはた,にしばた
西部	にしぶ,にしべ
西分	にしぶん,にしわけ
西方	にしかた,にしがた
西堀	にしほり,にしぼり
西明	さいみょう,さいめい,にしあき,にしあけ,にしみょう
西面	さいめん,にしお
西里	にしさと,にしざと
西林	にしはやし,にしばやし
西應	にしお,にしおう
西條	さいじょう,にしじょう
請田	うけた,うけだ
青海	あおがい,あおみ,おうみ,おおみ,せいかい,せいがい
青儀	あおき,あおぎ
青崎	あおさき,あおざき
青笹	あおささ,あおざさ
青枝	あおえ,あおえだ,あおし
青鹿	あおか,あおしか
青谷	あおたに,あおや
青地	あおじ,あおち,あおぢ
青塚	あおつか,あおづか
青柳	あおやぎ,あおやなぎ
静谷	しずたに,しずや
斉数	さいす,さいすう
斉田	さいた,さいだ
斉木	さいき,さえき
昔農	せきの,せきのう
石	いし,せき
石﨑	いしさき,いしざき
石王丸	いしおうまる,いしおまる
石下	いしおろし,いしげ,いしした
石河	いしかわ,いしこ,いしこう
石角	いしかど,いしずみ
石掛	いしかけ,いしがけ
石亀	いしかめ,いしがめ
石金	いしかね,いしがね
石隈	いしくま,いしぐま
石栗	いしくり,いしぐり
石兼	いしかね,いしがね
石見	いしみ,いわみ
石原	いしはら,いしわら
石戸	いしと,いしど
石戸谷	いしとや,いしどや
石高	いしたか,いしだか
石黒	いしくろ,いしぐろ
石坂	いしさか,いしざか
石阪	いしさか,いしざか
石崎	いしさき,いしざき
石司	いしづか,せきじ
石手洗	いしたらい,いしてあらい
石床	いしとこ,いしどこ
石上	いしかみ,いしがみ,いわがみ
石神	いしかみ,いしがみ
石瀬	いしせ,いしぜ
石積	いしずみ,いしづみ
石前	いしまえ,こくまえ
石曽根	いしそね,いしぞね
石倉	いしくら,いわくら
石沢	いしざわ,こくざわ
石谷	いしがい,いしたに
石地	いしじ,いしち
石津	いしず,いしつ,いしづ
石塚	いしずか,いしつか,いしづか
石庭	いしにわ,いしば
石田	いした,いしだ
石渡	いしわた,いしわたり
石動	いしどう,いするぎ
石突	いしずき,いしづき
石之野	いしの,いしのの
石迫	いしざこ,いしせこ
石附	いしずき,いしづき
石立	いしたて,いしだて
石留	いしとめ,いしどめ
石榑	いしくれ,いしぐれ
石澤	いしざわ,こくざわ
積山	せきやま,つみやま
積木	つむき,つむぎ
赤﨑	あかさき,あかざき
赤羽	あかは,あかはね,あかば,あかばね
赤羽根	あかはね,あかばね
赤熊	あかくま,あかぐま
赤穴	あかあな,あかな
赤崎	あかさき,あかざき
赤碕	あかさき,あかざき
赤山	あかやま,せきやま
赤司	あかし,あかつか
赤城	あかぎ,あかしろ,せきじょう
赤星	あかほし,あかぼし
赤沢	あかさわ,あかざわ
赤谷	あかたに,あかや
赤地	あかじ,あかち
赤築	あかつき,しゃづき
赤塚	あかつか,あかづか,せきづか
赤田	あかた,あかだ
赤土	あかつち,あかど,しゃくど
赤畠	あかはた,あかばたけ
赤部	あかべ,せきべ
赤穂	あかほ,あこう
赤堀	あかほり,あかぼり
赤木	あかき,あかぎ
赤刎	あかはね,あかばね
赤澤	あかさわ,あかざわ
赤穗	あかほ,あこう
切通	きりとおし,きりどおし
切明	きりあき,きりあけ
折下	おりした,おりしも
折谷	おりたに,かげしま
折敷	おしき,おりしき
設楽	したら,しだら
設樂	したら,しだら
説田	せった,せつた,せつだ
雪	すすぎ,ゆき
仙黒	せんくろ,せんごく
仙頭	せんとう,せんどう
仙洞田	せんどうた,せんどうだ
仙北谷	せんぼくや,せんぽくや
先崎	せんざき,まっさき,まつさき,まづさき
先田	さきた,さきだ
先名	さきな,せんな
先立	せんだち,せんだつ
千々岩	ちじいわ,ちちいわ,ちぢいわ,ちぢわ
千々波	ちぢなみ,ちぢわ
千羽	せんば,ちば
千賀	せんが,ちが
千貫	せんがん,ちぬき
千間	せんま,ちま
千歳	せんざい,ちとせ
千阪	せんざか,ちさか
千種	ちくさ,ちぐさ
千秋	せんしゅう,ちあき
千住	せんじゅ,せんじゅう
千森	せんもり,ちもり
千先	せんさき,せんざき
千川	せんかわ,ちかわ
千草	ちくさ,ちぐさ
千足	ちあし,ちそく
千代	せんだい,ちしろ,ちよ
千代谷	ちよたに,ちよや
千谷	せんや,ちや
千地	ちじ,ちぢ
千田	せんた,せんだ,ちだ
千年原	せんねんばら,ちとせはら
千馬	せんば,ちば
千北	ちきた,ちぎた
千本	せんぼん,せんもと,ちもと
千明	ちあき,ちぎら
千木良	ちきら,ちぎら
千野	せんの,ちの
千葉東	ちばと,ちばとう
千澤	せんざわ,ちざわ
川	かわ,やながわ
川羽田	かわはた,かわばた
川越	かわごえ,かわごし
川縁	かわぶち,かわべり
川下	かわした,かわしも
川原	かわはら,かわら
川原崎	かわはらさき,かわはらざき,かわらさき,かわらざき
川原田	かわはらだ,かわらだ
川原林	かわはらばやし,かわらばやし
川古谷	かわこたに,かわこや
川戸	かわと,かわど
川向	かわむかい,かわむき,かわむこう
川合	かわあい,かわい
川妻	かわつま,かわづま
川治	かわじ,かわち
川住	かわすみ,かわずみ
川尻	かわしり,かわじり
川人	かわと,かわひと,かわんど
川染	かわそめ,かわぞめ
川代	かわしろ,かわだい
川端	かわはた,かわばた
川地	かわじ,かわち,かわぢ
川中子	かわなかご,かわなご
川津	かわつ,かわづ
川添	かわそえ,かわぞい,かわぞえ
川田	かわた,かわだ
川東	かわとう,かわひがし
川藤	かわとう,かわふじ
川那子	かわなこ,かわなご
川内	かわうち,かわち
川南	かわなみ,かわみなみ
川幡	かわはた,かわばた
川畑	かわはた,かわばた
川畠	かわはた,かわばた
川副	かわそえ,かわぞえ
川分	かわけ,かわわけ
川平	かびら,かわひら
川辺	かわなべ,かわべ
川面	からづら,かわつら,かわづら,かわも
川連	かわつれ,かわづれ
川渕	かわふち,かわぶち
川邊	かわなべ,かわべ
川邉	かわなべ,かわべ
戦	いくさ,せん
扇	おうぎ,おおぎ
扇原	おうぎはら,おおぎはら,おぎはら
扇子	おおぎ,せんす
扇谷	おうぎたに,おうぎや,おおぎたに,おおぎや
扇田	おうぎた,おおぎだ,せんだ
扇澤	おうぎさわ,おおぎさわ
撰	えらび,えらぶ
泉	いずみ,いづみ
泉井	いずい,わくい
泉浦	いずうら,いずみうら
泉岡	いずおか,いずみおか
泉元	いずみもと,いずもと
泉原	いずはら,いずみはら
泉崎	いずさき,いずみさき,いずみざき
泉山	いずみやま,いずやま,いづみやま
泉森	いずみもり,いずもり
泉水	いずみ,せんすい
泉川	いずかわ,いずみかわ,いづみかわ
泉村	いずみむら,いずむら
泉谷	いずたに,いずみたに,いずみや,いづみや
泉池	いずいけ,いずち
泉田	いずた,いずみた,いずみだ,いづみた,せんだ
泉本	いずみもと,いずもと
泉名	いずみな,せんみょう
泉野	いずの,いずみの
泉澤	いずみさわ,いずみざわ
浅越	あさこし,あさごえ,あさごし,あざごえ
浅黄	あさお,あさぎ
浅賀	あさか,あさが
浅海	あさうみ,あさかい,あさのみ,あさみ
浅貝	あさかい,あさがい
浅見	あさみ,あざみ
浅妻	あさずま,あさつま,あさづま
浅上	あさかみ,あさがみ
浅生	あさい,あさお,あそう
浅谷	あさたに,あさや
浅地	あさじ,あさぢ
浅津	あさつ,あさづ
浅島	あさしま,あさじま
浅木	あさき,あさぎ
浅葉	あさは,あさば
洗川	あらいかわ,あらかわ
染谷	そめたに,そめや
箭内	やない,やんない
舛谷	ますたに,ますや
舛田	ますた,ますだ
船曳	ふなひき,ふなびき
船橋	ふなはし,ふなばし
船原	ふなはら,ふなばら
船崎	ふなさき,ふなざき
船生	ふなお,ふにゅう
船造	ふなぞう,ふなづくり
船谷	ふなたに,ふなや
船迫	ふなさこ,ふなば
薦田	こもた,こもだ
銭場	せんば,ぜにば
銭谷	ぜにたに,ぜにや
銭田	ぜにた,ぜにだ,ぜんだ
前	すすめ,まえ
前﨑	まえさき,まえざき
前越	まえこし,まえごし
前園	まえその,まえぞの
前家	まえいえ,まえけ
前垣内	まえがいち,まえがいと
前角	まえかく,まえずみ
前橋	まえはし,まえばし
前原	まえはら,まえばら
前崎	まえさき,まえざき
前寺	ぜんでら,まえでら
前上	まえうえ,まえがみ
前場	ぜんば,まえば
前川	まえかわ,まえがわ
前多	まえた,まえだ
前沢	まえさわ,まえざわ
前田	まえた,まえだ
前田河	まえだがわ,まえだこ
前島	まえしま,まえじま
前嶋	まえしま,まえじま
前峠	まえだお,まえとうげ
前波	まえなみ,まえば
前馬	まえうま,まえば
前里	まえさと,まえざと
前佛	ぜんぶつ,まえぶつ
善住	ぜんじゅう,よしずみ
善積	よしずみ,よしづみ
善田	きだ,ぜんだ
善如寺	ぜんにょうじ,ぜんにょじ
全	ぜん,まったく
全田	ぜんだ,まった
膳亀	ぜんかめ,ぜんがめ
曾我部	そかべ,そがべ
曾田	あいた,あいだ,そだ
曽我部	そかべ,そがべ
曽小川	そおかわ,そおがわ
曽谷	そがや,そたに,そや
曽田	そた,そだ
曽布川	そふかわ,そぶかわ
曽良	かつら,そら
祖田	そた,そだ
祖父江	そふえ,そぶえ
祖母井	うばがい,そぼい
素川	すがわ,そがわ
倉益	くらます,くらみつ
倉家	くらいえ,くらけ
倉金	くらかね,くらがね
倉形	くらかた,くらがた
倉住	くらすみ,くらずみ
倉増	くらまし,くらます
倉谷	くらたに,くらや
倉爪	くらつめ,くらづめ
倉林	くらはやし,くらばやし
惣田	そうた,そうだ
早稲田	わさだ,わせだ
早乙女	さおとめ,そうとめ,そおとめ
早弓	はやみ,はやゆみ
早原	はやはら,はやばら
早崎	はやさき,はやざき
早水	はやみ,はやみず
早船	はやふね,はやぶね
早田	そうだ,はやた,はやだ,わさだ
早馬	そうま,はやうま,はやま
巣瀬	すせ,すのせ
相越	あいこし,あいごし
相賀	あいか,あいが,おうが,おおが,さが
相原	あいはら,あいばら
相口	あいぐち,おのぐち
相崎	あいざき,さがさき
相上	あいかみ,あいがみ
相神	あいかみ,あいがみ
相沢	あいさわ,あいざわ,そうざわ
相知	あいち,おうち,おおち
相津	あいづ,そうず
相田	あいた,あいだ,そうだ
相島	あいしま,あいじま
相内	あいうち,あいない
相馬	あいば,そうま
相澤	あいさわ,あいざわ
糟谷	かすたに,かすや
草桶	くさおか,くさおけ
草賀	くさか,くさが
草原	くさはら,そうばる
草川	くさかわ,くさがわ
草島	くさしま,くさじま
草別	くさわき,くさわけ
草木迫	くさきさこ,くさきざこ
荘加	しょうか,そうか
荘司	しょうじ,そうじ
荘村	しょうむら,そうむら
荘田	しょうだ,そうだ
走出	はしで,はしりで
鎗田	かまた,やりた
霜出	しもいで,しもで
霜田	しもた,しもだ
霜澤	しもさわ,しもざわ
増見	ましみ,ますみ
増古	ましこ,ますこ
増山	ましやま,ますやま
増子	ましこ,ますこ
増沢	ますさわ,ますざわ
増谷	ましたに,ますたに,ますや
増地	ますち,ますぢ
増田	ますた,ますだ
増嶋	ますしま,ますじま
増野	ましの,ますの
蔵増	くらまし,くらます
蔵島	くらしま,ぞうしま
蔵富	くらとみ,とみくら
造田	そうだ,ぞうた,ぞうだ
側島	そばしま,そばじま
則次	のりつぎ,のりつぐ
束田	つかた,つかだ
足羽	あしば,あしわ
足沢	あしざわ,たるさわ
足立	あたち,あだち
速水	はやみ,はやみず
属	さっか,さつか
続橋	つづきはし,つづきばし
孫田	そんた,まごた
村下	むらした,むらしも
村家	むらい,むらいえ
村角	むらかく,むらかど,むらずみ
村岸	むらきし,むらぎし
村主	すぐり,つくり,むらぬし
村上	むらかみ,むらがみ
村城	そんじょう,むらき
村端	むらはし,むらはた
村地	むらじ,むらち
村林	むらはやし,むらばやし
多々納	たたの,たたのう,ただの,ただのう
多々野	たたの,ただの
多賀谷	たがたに,たがや
多胡	たこ,たご
多谷	たたに,ただに,たや
多地	たじ,たち
多田	おおた,ただ
多田井	たたい,ただい
多田見	たたみ,ただみ
多比良	たいら,たひら
多和田	たわた,たわだ
太井	おおい,ふとい
太地	たいじ,たいち
太中	おおなか,たなか,ふとなか,ふとなが
太田原	おおたはら,おおたわら
太島	おおしま,たじま
太附	たつき,たづけ
太良	たいら,たら
太郎浦	たろううら,たろうら
打越	うちこし,うちごし
打出	うちいで,うちで
打田	うちた,うちだ,うつだ
打樋	うちひ,うてび
柁原	かじはら,かじわら
陀安	たやす,だやす
対比地	ついじ,ついひち
帯賀	おびか,おびが
帯谷	おびたに,おびや
帯刀	おびなた,たいとう,たてわき
待鳥	まちとり,まちどり
戴	いただき,たい
泰地	たいち,たいぢ
袋谷	ふくろたに,ふくろだに,ふくろや
鯛谷	たいたに,たいや
鯛島	たいしま,たいじま
代永	だいなが,よなが
代財	しろさい,しろざい
代市	しろいち,よいち
代田	しろた,だいた,だいだ,よだ
台	うてな,だい
台蔵	たいぞう,だいぞう
大安	たいあん,だいやす
大羽	おおはね,おおば
大越	おおこし,おおごえ,おおごし
大園	おおその,おおぞの
大堰	おおせぎ,おおぜき
大薗	おおその,おおぞの
大音	おおおと,おおと
大下	おおした,おおしも
大家	おおいえ,おおか,おおや,たいけ,だいけ
大河原	おおかわら,おおがわら
大賀	おおが,たいが
大海	おおうみ,おおがい,おおみ,だいかい
大海原	おおうなばら,わたのはら
大垣内	おおがいと,おおがきうち
大柿	おおかき,おおがき
大角	おおかど,おおがく,おおすみ,おかど
大楽	たいらく,だいらく
大釜	おおかま,おおがま
大萱	おおかや,おおがや,だいがや
大萱生	おおがゆ,おおがゆう
大関	おおせき,おおぜき,おぜき
大舘	おおざと,おおたち,おおだち,おおだて,おおや
大丸	おおまる,だいまる
大岸	おおきし,おおぎし
大喜	おおき,たいき,だいき
大喜多	おおきた,おおぎた
大亀	おおかめ,おおがめ,おおき
大久	おおく,おおひさ,だいひさ
大鋸	おおが,おおのこ
大峡	おおはざま,おおば
大郷	おおごう,おおさと,だいごう
大饗	おおあえ,おおわい
大金	おおかね,おおがね
大空	おおそら,おおぞら
大串	おおくし,おおぐし
大櫛	おおくし,おおぐし
大隈	おおくま,おおすみ
大栗	おおくり,おおぐり
大形	おおかた,おおがた,おかた
大兼	おおかね,おおがね
大見謝	おおみしゃ,おおみじゃ
大古	おおこ,おおふる
大庫	おおくら,おおこ,おおご,おくら
大戸	おおと,おおど,ねぎ
大胡	おおご,だいご
大胡田	おおこだ,おおごだ,おごた
大後	おおご,だいご
大口	おおくち,おおぐち
大工	おおく,おおぐ,だいく
大工原	だいくはら,だいくばら
大荒田	おおあらた,おおあらだ
大黒	おおくろ,おおぐろ,だいこく
大根田	おおねた,おおねだ
大堺	おおさかい,おおざかい
大作	おおさく,だいさく
大笹	おおささ,おおざさ
大司	おおじ,おおつかさ,たいし
大寺	おおてら,おおでら
大治	おおじ,おおはる
大住	おおすみ,おおすも
大出	おおいで,おおで
大床	おおとこ,おおどこ
大松	おおまつ,だいまつ
大鐘	おおかね,おおがね
大上	おおうえ,おおかみ,おおがみ,だいじょう
大上戸	おおかみど,だいじょうご
大城	おおき,おおぎ,おおしろ
大場	おおば,おば
大神	おおが,おおがみ
大仁	おおに,だいに,だいにん
大須賀	おおすか,おおすが
大菅	おおすが,おおすげ
大瀬戸	おおせと,おおせど
大成	おおなり,おおなる,だいなり
大星	おおほし,おおぼし
大西	おおにし,だいせい
大川原	おおかわら,おおがわら
大川内	おおかわうち,おおかわち,おおこうち
大前	おおさき,おおまえ
大束	おおたば,おおつか
大代	おおしろ,だいだい
大宅	おおたく,おおや
大沢	おおさわ,おおざわ
大達	おおだち,おおだて
大谷	おおがい,おおたに,おおや,だいたに
大谷内	おおやうち,おおやち
大地	おおじ,おおち
大智	おおち,おおとも
大長	おおちょう,おおなが,だいちょう
大津賀	おおつか,おおつが
大津谷	おおつたに,おおつや
大庭	おおにわ,おおば
大田	おおた,だいだ
大田原	おおたはら,おおたわら
大渡	おおと,おおわたり
大塔	おおとう,だいとう
大東	おおひがし,だいとう
大当	おおあたり,おおとう
大藤	おおとう,おおふじ,だいとう
大豆生田	おおまみうだ,おおまみゅうだ,おおまめうだ,おおまめせいた
大頭	おおがしら,だいとう
大堂	おおどう,だいどう
大洞	おおほら,おおぼら,だいどう
大道	おおみち,だいどう
大徳	おおとく,だいとく
大南	おおなみ,おおみなみ
大楠	おおくす,おおぐす
大日	おおくさ,だいにち
大日向	おおひなた,おおひゅうが
大日方	おおひなた,おおびなた,おびなた
大能	おおの,おおのう
大柏	おおかしわ,おおがし
大迫	おおさこ,おおせこ
大硲	おおさこ,おおば
大幡	おおはた,おおばた,おおばん
大畠	おおはた,おおばたけ
大美賀	おおみか,おおみが
大武	おおたけ,おおぶ
大部	おおぶ,おおべ,だいぶ
大伏	おおふし,おおぶし
大福	おおふく,だいふく
大淵	おおふち,おおぶち
大平	おおたいら,おおだい,おおだいら,おおひら
大保	おおぼ,おおやす,だいほ,だいぼ
大方	おおかた,おおがた
大坊	おおぼう,だいぼう
大本	おおもと,だいもと
大明	おおあき,だいみょう
大毛	おおけ,おおげ
大木	おおき,おおぎ,たいき
大木島	おおきしま,おおきじま
大目	おおめ,だいめ
大門	おおかど,だいもん
大野田	おおのた,おおのだ
大野木	おおのき,おおのぎ
大柳	おおやぎ,おおやなぎ,おやなぎ
大用	おおよう,だいよう
大利	おおとし,おおり,だいり
大良	おおら,だいら
大隣	おおとなり,おおどなり
大和	おおわ,おわ,やまと
大和久	おおわく,おわく
