髙	こう,たか
各務	かかみ,かかむ,かがみ,かくむ
覚前	かくぜん,かくまえ
覚張	かくはり,がくはり
覚田	かくた,かくだ
角	かく,かど,すみ,つの
角井	かくい,すみい,つのい
角岡	かどおか,つのおか
角屋	かくや,かどや,すみや,やどや
角屋敷	かどやしき,すみやしき
角河	すみかわ,すみがわ
角海	かくうみ,かどうみ
角舘	かくだて,かくのだて
角原	かくはら,かどはら
角江	かくえ,すみえ
角崎	かくざき,かどさき,かどざき,つのざき
角山	かくやま,かどやま,つのやま
角森	かくもり,つのもり
角石	かくいし,かどいし
角川	かくがわ,かどかわ,すみかわ,つのかわ
角前	かくぜん,かどまえ
角倉	かどくら,すみくら
角村	かどむら,すみむら,つのむら
角替	つのがい,つのがえ
角沢	かくさわ,かどさわ
角谷	かくたに,かくや,かたたに,かどたに,かどや,すみたに,すみや,つのや
角地	かくち,つのじ
角田	かくた,かくだ,かどた,すみた,すみだ,つのだ
角島	かくしま,かどしま
角嶋	かくしま,かどしま
角藤	かくとう,かくどう
角南	すなみ,すみなみ,つなみ
角埜	かくの,かどの
角尾	かくお,かどお,すみお,つのお
角浜	かくはま,かどはま
角本	かくもと,かどもと
角野	かくの,かどの,すみの,つの
角矢	かくや,かどや
岳	おか,がく
額谷	ぬかたに,ぬかや
額田	ぬかた,ぬかだ
掛川	かけかわ,かけがわ
掛谷	かけたに,かけや
掛田	かけた,かけだ
笠	かさ,りゅう
笠川	かさかわ,かさがわ
笠谷	かさたに,かさや
笠置	かさおき,かさき,かさぎ
笠島	かさしま,かさじま
笠嶋	かさしま,かさじま
笠木	かさき,かさぎ
樫木	かしき,かしのき
梶原	かじはら,かじわら,かぢわら
梶崎	かじさき,かじざき
梶谷	かじたに,かじや
梶塚	かじつか,かじづか,かぢつか
梶本	かじもと,かぢもと
潟渕	かたふち,かたぶち
割鞘	わりさや,わりざや
割澤	わりさわ,わりざわ
滑川	なめかわ,なめりかわ
葛	かつ,くず
葛井	かつい,かつらい,ふじい
葛原	かつはら,くずはら
葛山	かつやま,かつらやま,かづらやま,くずやま
葛上	くずかみ,くずがみ
葛城	かつらぎ,くずき
葛生	くずう,くづう
葛西	かさい,かっさい,かつさい,くずにし
葛谷	かつたに,くずたに,くずや
葛田	かつた,かつらだ,くずた
葛島	かどしま,くずしま
葛馬	かつま,かつらうま,くずま
葛迫	かつさこ,かつせこ,かつらさこ
葛綿	かつわた,くずわた
葛野	かどの,くずの
葛葉	くずは,くずば
叶	かの,かのう
叶谷	かなたに,かのうや
叶内	かなうち,かのうち
椛沢	かばさわ,がわさわ
椛島	かばしま,かばじま
樺島	かばしま,かばじま
蒲	かば,かま,がま
